path	project	force_eval_energy_ha	gauxc_molecular_virial_fd	debug_sum_of_differences	program_ended
raw/spark/skala-molopt-bench/runs/H2_GAPW_AE_skala_base/cp2k.out	H2_GAPW_AE_skala	-1.173104781158338	1.26214523340E-01 1.26212319471E-01 2.20386877328E-06		yes
raw/spark/skala-molopt-bench/runs/H2_GAPW_AE_skala_force_minus/cp2k.out	H2_GAPW_AE_skala	-1.173111474657246			yes
raw/spark/skala-molopt-bench/runs/H2_GAPW_AE_skala_force_plus/cp2k.out	H2_GAPW_AE_skala	-1.173096725932770			yes
raw/spark/skala-molopt-bench/runs/H2_GAPW_AE_skala_virial_minus/cp2k.out	H2_GAPW_AE_skala	-1.173105323281966			yes
raw/spark/skala-molopt-bench/runs/H2_GAPW_AE_skala_virial_plus/cp2k.out	H2_GAPW_AE_skala	-1.173104232755384			yes
raw/spark/skala-molopt-bench/runs/H2_GPW_gauxc_pbe_base/cp2k.out	H2_GPW_gauxc_pbe	-1.165609849984749	1.06105376853E-01 1.06105375169E-01 1.68445749016E-09		yes
raw/spark/skala-molopt-bench/runs/H2_GPW_gauxc_pbe_force_minus/cp2k.out	H2_GPW_gauxc_pbe	-1.165597699744128			yes
raw/spark/skala-molopt-bench/runs/H2_GPW_gauxc_pbe_force_plus/cp2k.out	H2_GPW_gauxc_pbe	-1.165620644233487			yes
raw/spark/skala-molopt-bench/runs/H2_GPW_gauxc_pbe_virial_minus/cp2k.out	H2_GPW_gauxc_pbe	-1.165608997431202			yes
raw/spark/skala-molopt-bench/runs/H2_GPW_gauxc_pbe_virial_plus/cp2k.out	H2_GPW_gauxc_pbe	-1.165610695112898			yes
raw/spark/skala-molopt-bench/runs/H2_GPW_native_pbe_base/cp2k.out	H2_GPW_native_pbe	-1.165609977252694			yes
raw/spark/skala-molopt-bench/runs/H2_GPW_native_pbe_force_minus/cp2k.out	H2_GPW_native_pbe	-1.165597830558270			yes
raw/spark/skala-molopt-bench/runs/H2_GPW_native_pbe_force_plus/cp2k.out	H2_GPW_native_pbe	-1.165620768729882			yes
raw/spark/skala-molopt-bench/runs/H2_GPW_native_pbe_virial_minus/cp2k.out	H2_GPW_native_pbe	-1.165609124935160			yes
raw/spark/skala-molopt-bench/runs/H2_GPW_native_pbe_virial_plus/cp2k.out	H2_GPW_native_pbe	-1.165610822149042			yes
raw/spark/skala-molopt-bench/runs/H2_GPW_skala_base/cp2k.out	H2_GPW_skala	-1.173260791437501	1.11569984395E-01 1.11571293068E-01 -1.30867332318E-06		yes
raw/spark/skala-molopt-bench/runs/H2_GPW_skala_force_minus/cp2k.out	H2_GPW_skala	-1.173263316407212			yes
raw/spark/skala-molopt-bench/runs/H2_GPW_skala_force_plus/cp2k.out	H2_GPW_skala	-1.173256905350217			yes
raw/spark/skala-molopt-bench/runs/H2_GPW_skala_virial_minus/cp2k.out	H2_GPW_skala	-1.173261024024601			yes
raw/spark/skala-molopt-bench/runs/H2_GPW_skala_virial_plus/cp2k.out	H2_GPW_skala	-1.173260551412454			yes
raw/spark/skala-molopt-bench/runs/NH3_GAPW_AE_gauxc_pbe_base/cp2k.out	NH3_GAPW_AE_gauxc_pbe	-56.513726224012338	6.50771941850E-01 6.50771938974E-01 2.87622381467E-09		yes
raw/spark/skala-molopt-bench/runs/NH3_GAPW_AE_gauxc_pbe_force_minus/cp2k.out	NH3_GAPW_AE_gauxc_pbe	-56.513730265803659			yes
raw/spark/skala-molopt-bench/runs/NH3_GAPW_AE_gauxc_pbe_force_plus/cp2k.out	NH3_GAPW_AE_gauxc_pbe	-56.513721938534850			yes
raw/spark/skala-molopt-bench/runs/NH3_GAPW_AE_gauxc_pbe_virial_minus/cp2k.out	NH3_GAPW_AE_gauxc_pbe	-56.513722587439766			yes
raw/spark/skala-molopt-bench/runs/NH3_GAPW_AE_gauxc_pbe_virial_plus/cp2k.out	NH3_GAPW_AE_gauxc_pbe	-56.513729810665993			yes
raw/spark/skala-molopt-bench/runs/NH3_GAPW_AE_native_pbe_base/cp2k.out	NH3_GAPW_AE_native_pbe	-56.513711566859413			yes
raw/spark/skala-molopt-bench/runs/NH3_GAPW_AE_native_pbe_force_minus/cp2k.out	NH3_GAPW_AE_native_pbe	-56.513715629369770			yes
raw/spark/skala-molopt-bench/runs/NH3_GAPW_AE_native_pbe_force_plus/cp2k.out	NH3_GAPW_AE_native_pbe	-56.513707260539732			yes
raw/spark/skala-molopt-bench/runs/NH3_GAPW_AE_native_pbe_virial_minus/cp2k.out	NH3_GAPW_AE_native_pbe	-56.513707908926406			yes
raw/spark/skala-molopt-bench/runs/NH3_GAPW_AE_native_pbe_virial_plus/cp2k.out	NH3_GAPW_AE_native_pbe	-56.513715174840442			yes
raw/spark/skala-molopt-bench/runs/NH3_GAPW_AE_skala_base/cp2k.out	NH3_GAPW_AE_skala	-56.563091901128828	7.01940514130E-01 7.01983605958E-01 -4.30918282783E-05		yes
raw/spark/skala-molopt-bench/runs/NH3_GAPW_AE_skala_force_minus/cp2k.out	NH3_GAPW_AE_skala	-56.563090254616014			yes
raw/spark/skala-molopt-bench/runs/NH3_GAPW_AE_skala_force_plus/cp2k.out	NH3_GAPW_AE_skala	-56.563093303677789			yes
raw/spark/skala-molopt-bench/runs/NH3_GAPW_AE_skala_virial_minus/cp2k.out	NH3_GAPW_AE_skala	-56.563093501911773			yes
raw/spark/skala-molopt-bench/runs/NH3_GAPW_AE_skala_virial_plus/cp2k.out	NH3_GAPW_AE_skala	-56.563090282639131			yes
raw/spark/skala-molopt-bench/runs/NH3_GPW_gauxc_pbe_base/cp2k.out	NH3_GPW_gauxc_pbe	-11.738287135048138	5.91156039243E-01 5.91156033407E-01 5.83543735555E-09		yes
raw/spark/skala-molopt-bench/runs/NH3_GPW_gauxc_pbe_force_minus/cp2k.out	NH3_GPW_gauxc_pbe	-11.738292270456153			yes
raw/spark/skala-molopt-bench/runs/NH3_GPW_gauxc_pbe_force_plus/cp2k.out	NH3_GPW_gauxc_pbe	-11.738281757358475			yes
raw/spark/skala-molopt-bench/runs/NH3_GPW_gauxc_pbe_virial_minus/cp2k.out	NH3_GPW_gauxc_pbe	-11.738282868321580			yes
raw/spark/skala-molopt-bench/runs/NH3_GPW_gauxc_pbe_virial_plus/cp2k.out	NH3_GPW_gauxc_pbe	-11.738291352268330			yes
raw/spark/skala-molopt-bench/runs/NH3_GPW_native_pbe_base/cp2k.out	NH3_GPW_native_pbe	-11.738297912884949			yes
raw/spark/skala-molopt-bench/runs/NH3_GPW_native_pbe_force_minus/cp2k.out	NH3_GPW_native_pbe	-11.738303043648765			yes
raw/spark/skala-molopt-bench/runs/NH3_GPW_native_pbe_force_plus/cp2k.out	NH3_GPW_native_pbe	-11.738292539950701			yes
raw/spark/skala-molopt-bench/runs/NH3_GPW_native_pbe_virial_minus/cp2k.out	NH3_GPW_native_pbe	-11.738293644209859			yes
raw/spark/skala-molopt-bench/runs/NH3_GPW_native_pbe_virial_plus/cp2k.out	NH3_GPW_native_pbe	-11.738302131994137			yes
raw/spark/skala-molopt-bench/runs/NH3_GPW_skala_base/cp2k.out	NH3_GPW_skala	-11.740669009311921	6.05907510524E-01 6.05904117745E-01 3.39277903405E-06		yes
raw/spark/skala-molopt-bench/runs/NH3_GPW_skala_force_minus/cp2k.out	NH3_GPW_skala	-11.740671299600558			yes
raw/spark/skala-molopt-bench/runs/NH3_GPW_skala_force_plus/cp2k.out	NH3_GPW_skala	-11.740666463090152			yes
raw/spark/skala-molopt-bench/runs/NH3_GPW_skala_virial_minus/cp2k.out	NH3_GPW_skala	-11.740667918741689			yes
raw/spark/skala-molopt-bench/runs/NH3_GPW_skala_virial_plus/cp2k.out	NH3_GPW_skala	-11.740670051405214			yes
